Dynasty Weapons|Weapons|9441...9450;10004;9854...9880;10252;10527...10529;10253;10530...10532
Icarus Weapons|Weapons|10215...10226;10415;10434...10469
Vesper Weapons|Weapons|52;13457...13470;13884;14118...14159
Boss Weapons (Low)|Weapons|36417...36440;80066...80071;80315
Boss Weapons (Mid)|Weapons|36441...36464;80078...80083;80317
Boss Weapons (High)|Weapons|36465...36488;80078...80083;80317
Boss Weapons (Top)|Weapons|36489...36512;80084...80089;80318


Set Dynasty|Armor|9416;9421...9424;9432;9437...9440;9425;9428...9431
Set Moirai|Armor|15609;15612;15606;15615;15618;15610;15613;15607;15616;15619;15611;15614;15608;15617;15620
Set Vesper Gold|Armor|13432;13438;13137;13439;13440;13433;13441;13138;13442;13443;13434;13444;13139;13445;13446
Set Vesper Noble|Armor|13435;13448;13140;13449;13450;13436;13451;13141;13452;13453;13437;13454;13142;13455;13456
Set Elegia|Armor|15575;15578;15572;15581;15584;15576;15579;15573;15582;15585;15577;15580;15574;15583;15586
Set Vorpal|Armor|15592;15595;15589;15598;15601;15593;15596;15590;15599;15602;15594;15597;15591;15600;15603
Set Leviathan|Armor|80189...80193;80195...80204
Boss Jewelry|Armor|16025;16026;47244;47245;36946;35570;47246;47247;80333;80334;80335
